"palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"ubicar",1.8,3,2.4,0.4472,0,0.5477,"verbo"
"crear",3,3,2.2,0,0,0.8367,"verbo"
"calle",2,1.6,2.8,0,0.5477,0.4472,"sustantivo"
"terminar",2.2,3,2.8,0.4472,0,0.4472,"verbo"
"forma",2.2,1.8,1.4,0.4472,0.4472,0.5477,"sustantivo"
"sistema",2.2,2.2,1.2,0.4472,0.4472,0.4472,"sustantivo"
"año",2,1.8,3,0,0.8367,0,"sustantivo"
"existir",2.6,2.2,1.8,0.5477,1.0954,0.8367,"verbo"
"hijo",2.6,2.2,3,0.5477,0.4472,0,"sustantivo"
"partir",2,2.8,2.6,0,0.4472,0.8944,"verbo"
"comenzar",2.6,3,2.8,0.5477,0,0.4472,"verbo"
"luz",2.6,2,3,0.5477,0.7071,0,"sustantivo"
"buscar",2.2,3,2.8,0.4472,0,0.4472,"verbo"
"paso",2,2.4,2.2,0,0.5477,0.8367,"sustantivo"
"vida",2.8,2.2,2.4,0.4472,1.0954,0.8944,"sustantivo"
"país",2.2,1.8,2.8,0.4472,0.4472,0.4472,"sustantivo"
"encontrar",2.6,2.6,3,0.5477,0.5477,0,"verbo"
"decidir",2.2,3,1.8,0.4472,0,0.8367,"verbo"
"parte",2,1.8,2.8,0,0.4472,0.4472,"sustantivo"
"noche",2.6,2,3,0.5477,0.7071,0,"sustantivo"
"llevar",2,2.6,3,0,0.5477,0,"verbo"
"poner",2.4,3,3,0.5477,0,0,"verbo"
"hora",2,1.4,2.2,0,0.5477,0.8367,"sustantivo"
"incluir",2.2,2.6,1.8,0.4472,0.5477,0.8367,"verbo"
"decir",2.2,2.8,3,0.4472,0.4472,0,"verbo"
"escuchar",2.4,2.6,2.8,0.5477,0.5477,0.4472,"verbo"
"perder",1,2.4,3,0,0.8944,0,"verbo"
"grupo",2.6,2,2.8,0.5477,1,0.4472,"sustantivo"
"libro",2.6,2,3,0.5477,0.7071,0,"sustantivo"
"fuerza",2.4,2.4,2,0.5477,0.8944,1,"sustantivo"
"familia",3,2.4,2.8,0,0.5477,0.4472,"sustantivo"
"llegar",2.4,3,3,0.5477,0,0,"verbo"
"cielo",2.8,2.4,2.6,0.4472,0.5477,0.8944,"sustantivo"
"zona",2,1.8,1.6,0,0.8367,0.8944,"sustantivo"
"verdad",2.8,2.2,1.8,0.4472,0.8367,0.8367,"sustantivo"
"persona",2.4,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"norte",2.2,1.6,2.4,0.4472,0.5477,0.8944,"sustantivo"
"hombre",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"cuenta",2,1.8,2.4,0,0.8367,0.5477,"sustantivo"
"puerta",2,1.4,3,0,0.5477,0,"sustantivo"
"dirigir",2,2.8,2.2,0,0.4472,0.4472,"verbo"
"momento",2.2,1.6,1.8,0.4472,0.5477,0.8367,"sustantivo"
"muerte",1.2,2,2.2,0.4472,1,1.0954,"sustantivo"
"municipio",2,1.8,2.6,0,0.4472,0.8944,"sustantivo"
"tratar",2.2,2.8,1.8,0.4472,0.4472,0.8367,"verbo"
"quedar",2,1.6,2.2,0,0.8944,0.8367,"verbo"
"unir",2.4,2.8,2.8,0.5477,0.4472,0.4472,"verbo"
"cabeza",2,2,3,0,0.7071,0,"sustantivo"
"tierra",2.4,2,3,0.5477,1,0,"sustantivo"
"mismo",2,2.2,1.6,0,0.4472,0.5477,"adjetivo"
"centro",2.4,1.6,2.4,0.5477,0.5477,0.8944,"sustantivo"
"aun",2,1.8,1,0,0.4472,0,"adverbio"
"casa",2.8,1.4,2.8,0.4472,0.5477,0.4472,"sustantivo"
"gente",2.4,2.2,3,0.5477,1.0954,0,"sustantivo"
"principal",2.8,2.2,2.2,0.4472,0.8367,0.8367,"adjetivo"
"tan",2,1.8,1.4,0,0.4472,0.8944,"adverbio"
