"","palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad"
"107","encontrar",2.6,2.6,3,0.5477,0.5477,0
"108","decidir",2.2,3,1.8,0.4472,0,0.8367
"109","parte",2,1.8,2.8,0,0.4472,0.4472
"110","noche",2.6,2,3,0.5477,0.7071,0
"111","llevar",2,2.6,3,0,0.5477,0
"112","poner",2.4,3,3,0.5477,0,0
"113","hora",2,1.4,2.2,0,0.5477,0.8367
"114","incluir",2.2,2.6,1.8,0.4472,0.5477,0.8367
"115","decir",2.2,2.8,3,0.4472,0.4472,0
"116","escuchar",2.4,2.6,2.8,0.5477,0.5477,0.4472
"117","perder",1,2.4,3,0,0.8944,0
"118","grupo",2.6,2,2.8,0.5477,1,0.4472
"119","libro",2.6,2,3,0.5477,0.7071,0
"120","fuerza",2.4,2.4,2,0.5477,0.8944,1
"121","familia",3,2.4,2.8,0,0.5477,0.4472
"122","llegar",2.4,3,3,0.5477,0,0
"123","cielo",2.8,2.4,2.6,0.4472,0.5477,0.8944
"124","zona",2,1.8,1.6,0,0.8367,0.8944
"125","verdad",2.8,2.2,1.8,0.4472,0.8367,0.8367
"126","persona",2.4,2.6,2.8,0.5477,0.5477,0.4472
"127","norte",2.2,1.6,2.4,0.4472,0.5477,0.8944
"128","hombre",2.4,2.4,3,0.5477,0.5477,0
"129","cuenta",2,1.8,2.4,0,0.8367,0.5477
"130","puerta",2,1.4,3,0,0.5477,0
"131","dirigir",2,2.8,2.2,0,0.4472,0.4472
"132","momento",2.2,1.6,1.8,0.4472,0.5477,0.8367
"133","muerte",1.2,2,2.2,0.4472,1,1.0954
"134","municipio",2,1.8,2.6,0,0.4472,0.8944
"135","tratar",2.2,2.8,1.8,0.4472,0.4472,0.8367
"136","quedar",2,1.6,2.2,0,0.8944,0.8367
"137","unir",2.4,2.8,2.8,0.5477,0.4472,0.4472
"138","cabeza",2,2,3,0,0.7071,0
"139","tierra",2.4,2,3,0.5477,1,0
"140","mismo",2,2.2,1.6,0,0.4472,0.5477
"141","centro",2.4,1.6,2.4,0.5477,0.5477,0.8944
"142","aun",2,1.8,1,0,0.4472,0
"143","casa",2.8,1.4,2.8,0.4472,0.5477,0.4472
"144","gente",2.4,2.2,3,0.5477,1.0954,0
"145","principal",2.8,2.2,2.2,0.4472,0.8367,0.8367
"146","tan",2,1.8,1.4,0,0.4472,0.8944
"147","mejor",2.8,2.4,2.2,0.4472,0.5477,0.8367
"148","preguntar",2.2,3,2.4,0.8367,0,0.8944
"149","saber",2.8,3,2,0.4472,0,1
"150","formar",2.4,3,2,0.5477,0,0.7071
"151","único",2.4,2.2,2.6,0.5477,0.8367,0.8944
"152","vez",2,2,1.8,0,0.7071,0.8367
"153","camino",2.6,2.4,2.6,0.5477,0.8944,0.8944
"154","recuerdo",2.2,1.8,3,0.8367,1.0954,0
"155","mujer",2.6,2.6,3,0.5477,0.5477,0
"156","conocer",2.8,2.8,2.4,0.4472,0.4472,0.8944
"157","parecer",2.4,2.2,2.4,0.5477,0.4472,0.5477
"158","olvidar",2,2.6,2.4,0.7071,0.5477,0.8944
"159","metro",2.1667,2,3,0.4082,0.8944,0
"160","importante",2.3333,2.3333,2.3333,0.8165,0.8165,0.8165
"161","universidad",2.7143,2.8571,3,0.488,0.378,0
"162","siglo",2,1.2,2.6,0,0.4472,0.5477
"163","color",2.4,2,3,0.5477,0.7071,0
"164","pasar",2,2.4,2.6,0,0.8944,0.5477
"165","correr",2.8,3,3,0.4472,0,0
"166","mano",2.2,2,3,0.4472,0,0
"167","contar",2.4,3,2.8,0.5477,0,0.4472
"168","deber",1.6,2,2.8,0.5477,1,0.4472
"169","salir",2.6,3,3,0.5477,0,0
"170","vivir",2.8,3,3,0.4472,0,0
"171","estado",1.8,1.8,1.8,0.4472,0.8367,1.0954
"172","ver",2.4,2.6,2.8,0.5477,0.8944,0.4472
"173","pequeño",2.2,1.6,3,0.4472,0.5477,0
"174","padre",3,2.6,3,0,0.5477,0
"175","gobierno",2,2.6667,2.8333,0.6325,0.5164,0.4082
"176","condado",2,1.2,2.2,0,0.4472,1.0954
"177","utilizar",2.1667,2.6667,2.3333,0.4082,0.5164,0.8165
"178","madre",3,2.8,3,0,0.4472,0
