palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
siglo,2,1.2,2.6,0,0.4472,0.5477,sustantivo
color,2.4,2,3,0.5477,0.7071,0,sustantivo
mano,2.2,2,3,0.4472,0,0,sustantivo
estado,1.8,1.8,1.8,0.4472,0.8367,1.0954,sustantivo
pequeño,2.2,1.6,3,0.4472,0.5477,0,adjetivo
padre,3,2.6,3,0,0.5477,0,sustantivo
gobierno,2,2.6667,2.8333,0.6325,0.5164,0.4082,sustantivo
condado,2,1.2,2.2,0,0.4472,1.0954,sustantivo
madre,3,2.8,3,0,0.4472,0,sustantivo
tanto,2,2.2,1.8,0,0.8367,1.0954,adverbio
final,2.4,2.2,2.6,0.5477,0.8367,0.8944,sustantivo
día,2.4,2.2,3,0.5477,0.8367,0,sustantivo
sueño,2.4,2.2,2.4,0.5477,0.8367,0.8944,sustantivo
equipo,2.8,2.4,2.8,0.4472,0.8944,0.4472,sustantivo
ciudad,2.4,2.4,3,0.5477,0.8944,0,sustantivo
juego,3,3,2.8,0,0,0.4472,sustantivo
provincia,2.6,2,2.8,0.5477,0.7071,0.4472,sustantivo
gran,2.4,2.2,2.6,0.5477,0.8367,0.5477,adjetivo
general,2.2,1.8,1.4,0.4472,0.4472,0.8944,adjetivo
niño,2.6,2.8,3,0.8944,0.4472,0,sustantivo
mayor,2.3333,2.1667,3,0.5164,0.7528,0,adjetivo
serie,2.3333,2.1667,2,0.5164,0.7528,0.8944,sustantivo
silencio,2.6667,1.8333,3,0.5164,0.9832,0,sustantivo
realidad,2.3333,2.3333,2.6667,0.5164,0.8165,0.8165,sustantivo
real,2.3333,2.3333,2.5,0.5164,0.8165,0.5477,adjetivo
proyecto,2.5,2.1667,2.6667,0.5477,0.9832,0.5164,sustantivo
estudio,2.5,2.5,2.5,0.5477,0.8367,0.5477,sustantivo
película,2,2.1429,2.5714,1,0.6901,0.5345,sustantivo
mes,2.2,2,2.2,0.4472,0.7071,0.8367,sustantivo
sol,2.4,2.6,3,0.8944,0.5477,0,sustantivo
diferente,2.6,2.4,2,0.5477,0.5477,0.7071,adjetivo
isla,2.8,2,2.8,0.4472,0.7071,0.4472,sustantivo
censo,2,2.6,2.2,0,0.5477,0.8367,sustantivo
viejo,2.2,2.2,2.4,0.4472,0.8367,0.5477,adjetivo
humano,2.8,2.8,2.8,0.4472,0.4472,0.4472,adjetivo
